vocabulary,meaning,IPA,book,author
kamikaze,神风队,ˌkɑməˈkɑzi,Criminal Past,Gregory Ashe
bilious,胆汁,ˈbɪliəs,Criminal Past,Gregory Ashe
lock,锁,lɑk,Criminal Past,Gregory Ashe
detonator,雷管,ˈdɛtəˌneɪtər,Criminal Past,Gregory Ashe
fixer-upper,上固定器,fixer-upper*,Criminal Past,Gregory Ashe
grenades,手榴弹,grəˈneɪdz,Criminal Past,Gregory Ashe
roadkill,道路杀手,roadkill*,Criminal Past,Gregory Ashe
johnny,强尼,ˈʤɑni,Criminal Past,Gregory Ashe
john,约翰,ʤɑn,Criminal Past,Gregory Ashe
Breaking and entering,破门而入,ˈbreɪkɪŋ ənd ˈɛnərɪŋ,Cry Wolf,Charlie Adhara
myrtle,桃金娘,ˈmərtəl,Criminal Past,Gregory Ashe
cinders,煤渣,ˈsɪndərz,Criminal Past,Gregory Ashe
haft,有,hæft,Criminal Past,Gregory Ashe
camcorder,摄像机,ˈkæmˌkɔrdər,Criminal Past,Gregory Ashe
hibernation,冬眠,ˌhaɪbərˈneɪʃən,Cry Wolf,Charlie Adhara
Samaritan,撒玛利亚人,səˈmɛrɪtən,Cry Wolf,Charlie Adhara
placards,标语牌,ˈplækərdz,Cry Wolf,Charlie Adhara
willy-nilly,情不自禁,willy-nilly*,Cry Wolf,Charlie Adhara
time served,服务时间,taɪm sərvd,Cry Wolf,Charlie Adhara
guffaws,狂笑,gəˈfɔz,Cry Wolf,Charlie Adhara
headband,头巾,ˈhɛdˌbænd,Cry Wolf,Charlie Adhara
tomfoolery,傻事,tomfoolery*,Cry Wolf,Charlie Adhara
ointment,软膏,ˈɔɪntmənt,Cry Wolf,Charlie Adhara
stamen,蕊,stamen*,Cry Wolf,Charlie Adhara
busybody,爱管闲事的人,busybody*,Cry Wolf,Charlie Adhara
foyer,门厅,fɔɪər,Cry Wolf,Charlie Adhara
lugging,拖着,ˈləgɪŋ,Cry Wolf,Charlie Adhara
lanky,瘦长的,ˈlæŋki,Cry Wolf,Charlie Adhara
pupae,蛹,pupae*,Cry Wolf,Charlie Adhara
heirloom,传家宝,ˈɛˌrlum,Cry Wolf,Charlie Adhara
rigged,操纵,rɪgd,Cry Wolf,Charlie Adhara
rut,发情,rət,Cry Wolf,Charlie Adhara
archly,古怪的,ˈɑrʧli,Cry Wolf,Charlie Adhara
arsenic,砷,ˈɑrsənɪk,Cry Wolf,Charlie Adhara
closure,关闭,ˈkloʊʒər,Cry Wolf,Charlie Adhara
clamped,夹紧,klæmpt,Cry Wolf,Charlie Adhara
wobbly,摇摇晃晃的,ˈwɑbəli,Cry Wolf,Charlie Adhara
tendon,肌腱,ˈtɛndən,Cry Wolf,Charlie Adhara
up,向上,əp,Cry Wolf,Charlie Adhara
rag,抹布,ræg,Cry Wolf,Charlie Adhara
sommelier,侍酒师,sommelier*,Cry Wolf,Charlie Adhara
droll,滑稽,droʊl,Cry Wolf,Charlie Adhara
cissexist,西萨斯主义者,cissexist*,Cry Wolf,Charlie Adhara
statute,法令,ˈstæʧut,Cry Wolf,Charlie Adhara
mesmerizing,迷人的,ˈmɛzmərˌaɪzɪŋ,Cry Wolf,Charlie Adhara
mesh,网,mɛʃ,Cry Wolf,Charlie Adhara
upholstery,装潢,əˈpoʊlstəri,Cry Wolf,Charlie Adhara
poster boy for,海报男孩,ˈpoʊstər bɔɪ fər,Cry Wolf,Charlie Adhara
broadsword,大刀,ˈbrɔdˌsɔrd,Cry Wolf,Charlie Adhara
khakis,卡其裤,ˈkækiz,Cry Wolf,Charlie Adhara
walkabout,走动,walkabout*,Cry Wolf,Charlie Adhara
hedonist,享乐主义者,hedonist*,Cry Wolf,Charlie Adhara
Incestuous,乱伦的,ˌɪnˈsɛsʧwəs,Cry Wolf,Charlie Adhara
whippet,惠比特犬,whippet*,Cry Wolf,Charlie Adhara
phrenological,颅相学的,phrenological*,Cry Wolf,Charlie Adhara
operetta,轻歌剧,ˌɑpərˈɛtə,Cry Wolf,Charlie Adhara
de rigueur,严格地,də ˈrɪgər,Cry Wolf,Charlie Adhara
Incontrovertible,不容置疑的,ˌɪŋˌkɑntroʊˈvərtɪbəl,Cry Wolf,Charlie Adhara
snooping,窥探,sˈnupɪŋ,Cry Wolf,Charlie Adhara
beadily,漂亮地,beadily*,Cry Wolf,Charlie Adhara
containment pens,围栏,kənˈteɪnmənt pɛnz,Cry Wolf,Charlie Adhara
bell peppers,柿子椒,bɛl ˈpɛpərz,Cry Wolf,Charlie Adhara
posthaste,急如星火,posthaste*,Cry Wolf,Charlie Adhara
squawked,尖叫,squawked*,Cry Wolf,Charlie Adhara
tipple,小酌,ˈtɪpəl,Cry Wolf,Charlie Adhara
never the twain do meet,从来没有两人见面,ˈnɛvər ðə tweɪn du mit,Cry Wolf,Charlie Adhara
tycoon,巨头,taɪˈkun,Cry Wolf,Charlie Adhara
howdy,你好,ˈhaʊdi,Cry Wolf,Charlie Adhara
makeshift,权宜之计,ˈmeɪkˌʃɪft,Cry Wolf,Charlie Adhara
hectic,忙碌的,ˈhɛktɪk,Cry Wolf,Charlie Adhara
CPR,心肺复苏术,cpr*,Cry Wolf,Charlie Adhara
boa,蟒蛇,boʊə,Cry Wolf,Charlie Adhara
facetious,滑稽的,fəˈsiʃəs,Cry Wolf,Charlie Adhara
gored,顶撞,gɔrd,Cry Wolf,Charlie Adhara
spar,晶石,spɑr,Cry Wolf,Charlie Adhara
embossed,浮雕,ɪmˈbɔst,Cry Wolf,Charlie Adhara
whereabouts,下落,ˈwɛrəˌbaʊts,Cry Wolf,Charlie Adhara
rookies,菜鸟,ˈrʊkiz,Cry Wolf,Charlie Adhara
Minotaur,牛头怪,minotaur*,Cry Wolf,Charlie Adhara
tamped,夯实,tamped*,Cry Wolf,Charlie Adhara
Vaseline,凡士林,ˈvæsəˌlin,Cry Wolf,Charlie Adhara
cartel,卡特尔,kɑrˈtɛl,Cry Wolf,Charlie Adhara
batted,击球,ˈbætɪd,Cry Wolf,Charlie Adhara
tightrope,走钢丝,ˈtaɪˌtroʊp,Cry Wolf,Charlie Adhara
down,向下,daʊn,Cry Wolf,Charlie Adhara
clavicle,锁骨,ˈklævɪkəl,Cry Wolf,Charlie Adhara
boozy,酒醉的,ˈbuzi,Cry Wolf,Charlie Adhara
floodgates,闸门,ˈflədˌgeɪts,Cry Wolf,Charlie Adhara
Fancypants,花哨的裤子,fancypants*,Cry Wolf,Charlie Adhara
bash,狂欢,bæʃ,Cry Wolf,Charlie Adhara
arson,纵火,ˈɑrsən,Cry Wolf,Charlie Adhara
cohabiting,同居,koʊˈhæbɪtɪŋ,Cry Wolf,Charlie Adhara
ghost of a smile,微笑的幽灵,goʊst əv ə smaɪl,Cry Wolf,Charlie Adhara
divot,草皮,divot*,Cry Wolf,Charlie Adhara
raffle,抽奖,ˈræfəl,Cry Wolf,Charlie Adhara
hankering,渴望,ˈhæŋkərɪŋ,Cry Wolf,Charlie Adhara
foxtrot,狐步舞,ˈfɑkstrɑt,Cry Wolf,Charlie Adhara
snap,折断,snæp,Cry Wolf,Charlie Adhara
arsonist,纵火犯,ˈɑrsənɪst,Cry Wolf,Charlie Adhara
rapport,关系,ræˈpɔr,Cry Wolf,Charlie Adhara
slapdash,草率,sˈlæpˌdæʃ,Cry Wolf,Charlie Adhara
eye-wateringly,流泪地,eye-wateringly*,Cry Wolf,Charlie Adhara
porch,门廊,pɔrʧ,Cry Wolf,Charlie Adhara
ringer,铃声,ˈrɪŋər,Cry Wolf,Charlie Adhara
lapel,翻领,ləˈpɛl,Cry Wolf,Charlie Adhara
cackling,咯咯笑,ˈkækəlɪŋ,Cry Wolf,Charlie Adhara
his eyelashes,他的睫毛,hɪz ˈaɪˌlæʃɪz,Cry Wolf,Charlie Adhara
caribou,驯鹿,ˈkɛrɪˌbu,Cry Wolf,Charlie Adhara
fanny,舳,ˈfæni,Cry Wolf,Charlie Adhara
heist,抢劫,haɪst,Cry Wolf,Charlie Adhara
fisticuffs,拳打脚踢,ˈfɪstɪˌkəfs,Cry Wolf,Charlie Adhara
mauled,被打伤,mɔld,Cry Wolf,Charlie Adhara
docket,案卷,ˈdɑkət,Cry Wolf,Charlie Adhara
piquant,辛辣的,ˈpikənt,Cry Wolf,Charlie Adhara
peanut gallery,花生画廊,ˈpiˌnət ˈgæləri,Cry Wolf,Charlie Adhara
frazzled,疲惫不堪,ˈfræzəld,Cry Wolf,Charlie Adhara
in tow,拖着,ɪn toʊ,Cry Wolf,Charlie Adhara
walrus,海象,ˈwɔlrəs,Cry Wolf,Charlie Adhara
riffraff,即兴演奏,ˈrɪˌfræf,Cry Wolf,Charlie Adhara
magnanimous,坦荡,mægˈnænəməs,Cry Wolf,Charlie Adhara
tailspin,混乱,ˈteɪlˌspɪn,Cry Wolf,Charlie Adhara
moose,驼鹿,mus,Cry Wolf,Charlie Adhara
snuck up,悄然进入,snək əp,Cry Wolf,Charlie Adhara
turncoat,叛徒,ˈtərnˌkoʊt,Cry Wolf,Charlie Adhara
aerosol,气雾剂,ˈɛrəˌsɑl,Cry Wolf,Charlie Adhara
rotunda,圆形大厅,roʊˈtəndə,Cry Wolf,Charlie Adhara
rapier,剑杆,ˈreɪpiər,Cry Wolf,Charlie Adhara
dopey,愚蠢的,ˈdoʊpi,Cry Wolf,Charlie Adhara
sprinklers,洒水器,ˈsprɪŋkələrz,Cry Wolf,Charlie Adhara
pigeonhole,归档,ˈpɪʤənˌhoʊl,Cry Wolf,Charlie Adhara
agave,龙舌兰,agave*,Cry Wolf,Charlie Adhara
mutilated,肢解的,mˈjutəˌleɪtɪd,Cry Wolf,Charlie Adhara
tandem,串联,ˈtændəm,Cry Wolf,Charlie Adhara
Atlas’s,阿特拉斯的,atlas’s*,Cry Wolf,Charlie Adhara
scrunched,皱巴巴的,skrənʧt,Cry Wolf,Charlie Adhara
Elope,私奔,ɪˈloʊp,Cry Wolf,Charlie Adhara
Nepotism,裙带关系,ˈnɛpəˌtɪzəm,Cry Wolf,Charlie Adhara
freelance,自由职业者,ˈfriˌlæns,Cry Wolf,Charlie Adhara
malt,麦芽,mɔlt,Cry Wolf,Charlie Adhara
messiah,弥赛亚,məˈsaɪə,Cry Wolf,Charlie Adhara
flummoxed,困惑的,fləˈmɔkst,Days Without End,Sebastian Barry
spooky,幽灵般的,ˈspuki,Cry Wolf,Charlie Adhara
prophesying,预言,prophesying*,Days Without End,Sebastian Barry
pulverised,粉碎的,pulverised*,Days Without End,Sebastian Barry
colic,绞痛,colic*,Days Without End,Sebastian Barry
apothecary,药剂师,əˈpɑθəˌkɛri,Dances Long Forgotten (Winsford Green),Ruby Moone
goitre,甲状腺肿,goitre*,Days Without End,Sebastian Barry
abiding,坚持,əˈbaɪdɪŋ,Dances Long Forgotten (Winsford Green),Ruby Moone
tarnation,死亡,tarnation*,Days Without End,Sebastian Barry
troopers,士兵,ˈtrupərz,Days Without End,Sebastian Barry
fusillade,射击,fˈjusɪˌleɪd,Days Without End,Sebastian Barry
outlandish,古怪的,aʊˈtlændɪʃ,Cry Wolf,Charlie Adhara
Pinched,捏,pɪnʧt,Days Without End,Sebastian Barry
carapace,甲壳,carapace*,Days Without End,Sebastian Barry
quiff,髦,quiff*,Deal Maker (Mixed Messages Book 2),Lily Morton
smut,黑穗病,smət,Deal Maker (Mixed Messages Book 2),Lily Morton
aficionado,狂热爱好者,əˌfiʃjəˈnɑˌdoʊ,Deal Maker (Mixed Messages Book 2),Lily Morton
bulimia,贪食症,bjuˈlɪmiə,Deal Maker (Mixed Messages Book 2),Lily Morton
sciatica,坐骨神经痛,sciatica*,Deal Maker (Mixed Messages Book 2),Lily Morton
leprosy,麻风,ˈlɛprəsi,Deal Maker (Mixed Messages Book 2),Lily Morton
cauldron,釜,ˈkɔldrən,Deal Maker (Mixed Messages Book 2),Lily Morton
gopher,地鼠,ˈgoʊfər,Deal Maker (Mixed Messages Book 2),Lily Morton
high-profile,高调,ˌhaɪˈproʊfaɪl,Deal Maker (Mixed Messages Book 2),Lily Morton
coven,集会,ˈkəvən,Deal Maker (Mixed Messages Book 2),Lily Morton
kneejerk reaction,膝跳反应,kneejerk* riˈækʃən,Deal Maker (Mixed Messages Book 2),Lily Morton
hamster,仓鼠,ˈhæmstər,Deal Maker (Mixed Messages Book 2),Lily Morton
sellotape,胶带,sellotape*,Deal Maker (Mixed Messages Book 2),Lily Morton
insouciant,畅快,ˌɪnˈsusjənt,Deal Maker (Mixed Messages Book 2),Lily Morton
overdraft,透支,ˈoʊvərˌdræft,Deal Maker (Mixed Messages Book 2),Lily Morton
minx,疯丫头,minx*,Deal Maker (Mixed Messages Book 2),Lily Morton
comeuppance,报应,ˌkəˈməpəns,Deal Maker (Mixed Messages Book 2),Lily Morton
verdigris,铜绿,verdigris*,Declination,Gregory Ashe
psychosis,精神病,saɪˈkoʊsəs,Deal Maker (Mixed Messages Book 2),Lily Morton
voluptuously,性感地,voluptuously*,Deal Maker (Mixed Messages Book 2),Lily Morton
millstones,磨盘,millstones*,Deal Maker (Mixed Messages Book 2),Lily Morton
hir,希尔,hir*,Declination,Gregory Ashe
pinecone,松果,pinecone*,Declination,Gregory Ashe
ze,她,zeɪ,Declination,Gregory Ashe
mangy,肮脏的,ˈmeɪnʤi,Declination,Gregory Ashe
sari,纱丽,ˈsɑri,Declination,Gregory Ashe
thatch,苫,θæʧ,Declination,Gregory Ashe
spindle,主轴,ˈspɪndəl,Declination,Gregory Ashe
dossier,卷宗,ˌdɔsˈjeɪ,Declination,Gregory Ashe
gruel,粥,gruɪl,Declination,Gregory Ashe
shuttle,穿梭,ˈʃətəl,Declination,Gregory Ashe
culottes,裙裤,culottes*,Declination,Gregory Ashe
suppositories,栓剂,suppositories*,Declination,Gregory Ashe
exoskeletons,外骨骼,exoskeletons*,Declination,Gregory Ashe
probiotic,益生菌,probiotic*,Declination,Gregory Ashe
sunspots,黑子,ˈsənˌspɑts,Declination,Gregory Ashe
duplex,双工,ˈduˌplɛks,Declination,Gregory Ashe
groats,碎粒,groats*,Declination,Gregory Ashe
the third degree,第三学位,ðə θərd dɪˈgri,Declination,Gregory Ashe
bolognese,肉酱面,boʊloʊˈŋɛzi,Declination,Gregory Ashe
hopped-up,跳跃的,hopped-up*,Declination,Gregory Ashe
cruller,卷发,cruller*,Declination,Gregory Ashe
carpool,停车场,ˈkɑrˌpul,Declination,Gregory Ashe
console,安慰,ˈkɑnsoʊl,Declination,Gregory Ashe
cappuccino,卡布奇诺咖啡,ˌkæˌpuˈʧinoʊ,Declination,Gregory Ashe
tetanus,破伤风,ˈtɛtənəs,Declination,Gregory Ashe
macaroni,通心粉,ˌmækərˈoʊni,Declination,Gregory Ashe
wuss,胆小鬼,wəs,Declination,Gregory Ashe
housebreaking,入室行窃,housebreaking*,Declination,Gregory Ashe
leukemia,白血病,luˈkimiə,Declination,Gregory Ashe
rodomontade,狂欢,rodomontade*,Dorian,Will Self
safety cone,安全锥,ˈseɪfti koʊn,Declination,Gregory Ashe
yank North’s chain,猛拉北方的连锁店,jæŋk north’s* ʧeɪn,Declination,Gregory Ashe
wizened,干瘪,ˈwaɪzənd,Dorian,Will Self
epicene,通性,epicene*,Dorian,Will Self
copout,抓获,copout*,Declination,Gregory Ashe
swaddled,襁褓,swaddled*,Dorian,Will Self
apophthegms,格言,apophthegms*,Dorian,Will Self
alfresco,露天的,alfresco*,Dorian,Will Self
traduce,翻译,traduce*,Dorian,Will Self
rictus,笑了,rictus*,Dorian,Will Self
somnolent,困,ˈsɑmnələnt,Dorian,Will Self
aperçus,瞥见,aperçus*,Dorian,Will Self
aureole,光环,ˈɑrioʊl,Dorian,Will Self
corpuscle,血球,corpuscle*,Dorian,Will Self
vernal,春天的,ˈvərnəl,Dorian,Will Self
catamites,陨石坑,catamites*,Dorian,Will Self
de rigueur,严格地,də ˈrɪgər,Dorian,Will Self
tumescent,他们会膨胀,tuˈmɛsɪnt,Dorian,Will Self
lachrymal,流泪的,lachrymal*,Dorian,Will Self
gewgaws,华而不实,gewgaws*,Dorian,Will Self
vitreous,玻璃,ˈvɪtriəs,Dorian,Will Self
doppelgänger,分身,doppelgänger*,Dorian,Will Self
gavotte,加沃特,gavotte*,Dorian,Will Self
ordnance,军械,ˈɔrdnəns,Dorian,Will Self
pathogens,病原体,ˈpæθəʤənz,Dorian,Will Self
verglas,黑冰,verglas*,Dorian,Will Self
rambunctious,喧闹的,ræmˈbəŋkʃəs,Deep in Your Shadows: The Village - Book Two,"Cox, Darien"
moribund,垂死,ˈmɔrəbənd,Dorian,Will Self
piebald,花斑,ˈpaɪˌbɔld,Dorian,Will Self
ampoules,安瓶,ampoules*,Dorian,Will Self
tocsin,毒素,tocsin*,Dorian,Will Self
sobriquet,绰号,ˌsoʊbrəˈkɛt,Dorian,Will Self
proselytising,传教,proselytising*,Dorian,Will Self
galling,难堪的,ˈgɔlɪŋ,Down Low: Down Home Series: Book #1,"St. John, Parker"
macramé,花边,macramé*é,Dorian,Will Self
enemas,灌肠剂,ˈɛnəməz,Double Trouble: Two Werewolves for Brian,"Heart, D.J."
colonic,结肠的,colonic*,Double Trouble: Two Werewolves for Brian,"Heart, D.J."
Coltish,矫情的,coltish*,Double Trouble: Two Werewolves for Brian,"Heart, D.J."
Colon,冒号,ˈkoʊlən,Down Low: Down Home Series: Book #1,"St. John, Parker"
primordial,原始的,prɪˈmɔrdiəl,Double Trouble: Two Werewolves for Brian,"Heart, D.J."
prosthetic,假肢的,prɑsˈθɛtɪk,Down Low: Down Home Series: Book #1,"St. John, Parker"
wisecrack,俏皮话,ˈwaɪzˌkræk,Down Low: Down Home Series: Book #1,"St. John, Parker"
cuss,坏话,kəs,Down Low: Down Home Series: Book #1,"St. John, Parker"
spittle,唾沫,ˈspɪtəl,Deep in Your Shadows: The Village - Book Two,"Cox, Darien"
redacted,编辑,rɪˈdæktɪd,Deep in Your Shadows: The Village - Book Two,"Cox, Darien"
canoodling,亲吻,canoodling*,Down Low: Down Home Series: Book #1,"St. John, Parker"
puny,弱小,ˈpjuni,Double Trouble: Two Werewolves for Brian,"Heart, D.J."
in full holiday regalia,在完整的假期王权,ɪn fʊl ˈhɑlɪˌdeɪ rɪˈgeɪljə,Down Low: Down Home Series: Book #1,"St. John, Parker"
tusks,象牙,təsks,Deep in Your Shadows: The Village - Book Two,"Cox, Darien"
faux pas,失礼,foʊ pɑz,Deep in Your Shadows: The Village - Book Two,"Cox, Darien"
glycerin,甘油,glycerin*,Double Trouble: Two Werewolves for Brian,"Heart, D.J."
buckle bunnies,带扣兔子,ˈbəkəl ˈbəniz,Down Low: Down Home Series: Book #1,"St. John, Parker"
apparel,服饰,əˈpærəl,Double Trouble: Two Werewolves for Brian,"Heart, D.J."
oxycodone,羟考酮,oxycodone*,Down and Dirty: Down Home Book 2,Parker St. John
miasma,瘴气,miˈæzmə,Double Trouble: Two Werewolves for Brian,"Heart, D.J."
sass,无礼,sæs,Down in Flames,"St. John, Parker"
talcum,滑石粉,ˈtælkəm,Double Trouble: Two Werewolves for Brian,"Heart, D.J."
pruney,梅子,pruney*,Double Trouble: Two Werewolves for Brian,"Heart, D.J."
crayon,蜡笔,kreɪɑn,Double Trouble: Two Werewolves for Brian,"Heart, D.J."
yearlings,一岁鸽,ˈjɪlɪŋz,Down and Dirty: Down Home Book 2,Parker St. John
foal,驹,foʊl,Down and Dirty: Down Home Book 2,Parker St. John
snapped,啪的一声,snæpt,Double Trouble: Two Werewolves for Brian,"Heart, D.J."
arrhythmia,心律失常,ərˈɪðmiə,Down in Flames,"St. John, Parker"
barker,巴克,ˈbɑrkər,Down in Flames,"St. John, Parker"
windowpane,窗玻璃,ˈwɪndoʊˌpeɪn,Down in Flames,"St. John, Parker"
miasma,瘴气,miˈæzmə,Downtime,Tamara Allen
currants,黑加仑,currants*,Downtime,Tamara Allen
wheedling,哄骗,wheedling*,Downtime,Tamara Allen
pacemakers,心脏起搏器,ˈpeɪsˌmeɪkərz,Down in Flames,"St. John, Parker"
hie yourself to,自己去,hie* ˈjɔrsɛlf tɪ,Downtime,Tamara Allen
IOU,欠条,ˌaɪˌoʊˈju,Downtime,Tamara Allen
constable,警官,ˈkɑnstəbəl,Downtime,Tamara Allen
pitcher,投手,ˈpɪʧər,Downtime,Tamara Allen
hitched,搭便车,hɪʧt,Downtime,Tamara Allen
ottoman,脚凳,ˈɑtəmən,Downtime,Tamara Allen
chloroform,氯仿,ˈklɔrəˌfɔrm,Downtime,Tamara Allen
slammer,砰的一声,sˈlæmər,Downtime,Tamara Allen
Schizophrenia,精神分裂症,ˌskɪtsəˈfriniə,Downtime,Tamara Allen
skewer,串,skjuər,Downtime,Tamara Allen
pails,桶,peɪlz,Downtime,Tamara Allen
sans,没有,sænz,Downtime,Tamara Allen
ammunition,弹药,ˌæmjəˈnɪʃən,Downtime,Tamara Allen
scrimp,撙,skrɪmp,Downtime,Tamara Allen
abode,居所,əˈboʊd,Downtime,Tamara Allen
southpaw,左撇子,southpaw*,Downtime,Tamara Allen
acolytes,侍僧,ˈækəˌlaɪts,Downtime,Tamara Allen
minuet,小步舞曲,mɪnˌjuˈɛt,Downtime,Tamara Allen
clime,气候,clime*,Downtime,Tamara Allen
hogwash,废话,ˈhɑgˌwɑʃ,Downtime,Tamara Allen
Wicket,便门,ˈwɪkət,Downtime,Tamara Allen
behest,遗嘱,bɪˈhɛst,Downtime,Tamara Allen
minuet,小步舞曲,mɪnˌjuˈɛt,Downtime,Tamara Allen
cranky,暴躁的,ˈkræŋki,Downtime,Tamara Allen
stowaway,偷渡者,ˈstoʊəˌweɪ,Downtime,Tamara Allen
typhoid,伤寒,ˈtaɪfɔɪd,Downtime,Tamara Allen
frazzled,疲惫不堪,ˈfræzəld,Downtime,Tamara Allen
lumbago,腰痛,ləmˈbeɪˌgoʊ,Downtime,Tamara Allen
caterwauling,猫叫声,caterwauling*,Downtime,Tamara Allen
adieu,再见,əˈdu,Downtime,Tamara Allen
cinder,煤渣,ˈsɪndər,Downtime,Tamara Allen
clambered,攀登,ˈklæmbərd,Downtime,Tamara Allen
lumbago,腰痛,ləmˈbeɪˌgoʊ,Downtime,Tamara Allen
du jour,当天,də ʤur,Downtime,Tamara Allen
windpipe,气管,windpipe*,Downtime,Tamara Allen
gripe,抱怨,graɪp,Downtime,Tamara Allen
chateau,城堡,ʃæˈtoʊ,Downtime,Tamara Allen
garret,阁楼,ˈgɛrɪt,Downtime,Tamara Allen
du jour,当天,də ʤur,Downtime,Tamara Allen
Popsicle,棒冰,ˈpɑpsɪkəl,Downtime,Tamara Allen
hoodlums,流氓,ˈhudləmz,Downtime,Tamara Allen
hyenas,鬣狗,haɪˈinəz,Downtime,Tamara Allen
nix,尼克斯,nɪks,Downtime,Tamara Allen
pavilion,亭,pəˈvɪljən,Downtime,Tamara Allen
casket,棺材,ˈkæskət,Downtime,Tamara Allen
handlebars,把手,ˈhændəlˌbɑrz,Downtime,Tamara Allen
sappy,多汁的,sappy*,Downtime,Tamara Allen
mecca,麦加,ˈmɛkə,Downtime,Tamara Allen
mausoleum,陵,ˌmɔsəˈliəm,Downtime,Tamara Allen
hocked,吓坏了,hocked*,Downtime,Tamara Allen
hauling,牵引,ˈhɔlɪŋ,Downtime,Tamara Allen
mitt,连指手套,mɪt,Downtime,Tamara Allen
baboons,狒狒,bəˈbunz,Downtime,Tamara Allen
sandman,沙人,ˈsændˌmæn,Downtime,Tamara Allen
puny,弱小,ˈpjuni,Downtime,Tamara Allen
wafting,飘荡,ˈwɑftɪŋ,Downtime,Tamara Allen
lien,留置权,lin,Drag Queen (Robert Rodi Essentials),"Rodi, Robert"
chanteuse,歌手,chanteuse*,Drag Queen (Robert Rodi Essentials),"Rodi, Robert"
dotage,溺爱,dotage*,Drag Queen (Robert Rodi Essentials),"Rodi, Robert"
peonies,牡丹,ˈpiəniz,five o&#39;clock shadow,Elin Gregory
stevedore,装卸工,ˈstivəˌdɔr,Drag Queen (Robert Rodi Essentials),"Rodi, Robert"
viceroy,总督,ˈvaɪsrɔɪ,Drag Queen (Robert Rodi Essentials),"Rodi, Robert"
in thrall to,受制于,ɪn θrɔl tɪ,Drag Queen (Robert Rodi Essentials),"Rodi, Robert"
sobriquet,绰号,ˌsoʊbrəˈkɛt,Drag Queen (Robert Rodi Essentials),"Rodi, Robert"
ogress,女妖,ˈoʊgrəs,Drag Queen (Robert Rodi Essentials),"Rodi, Robert"
choker,项圈,choker*,five o&#39;clock shadow,Elin Gregory
swain,斯温,sweɪn,five o&#39;clock shadow,Elin Gregory
ditto,同上,ˈdɪtoʊ,five o&#39;clock shadow,Elin Gregory
haddock,黑线鳕,ˈhædək,five o&#39;clock shadow,Elin Gregory
bodice.,紧身胸衣。,ˈbɑdɪs.,Drag Queen (Robert Rodi Essentials),"Rodi, Robert"
tweezers,镊子,tˈwizərz,five o&#39;clock shadow,Elin Gregory
hypochondria,忧郁症,ˌhaɪpəˈkɑndriə,Drag Queen (Robert Rodi Essentials),"Rodi, Robert"
plied,合股,plaɪd,five o&#39;clock shadow,Elin Gregory
coronary artery bypass,冠状动脉搭桥术,ˈkɔrəˌnɛri ˈɑrtəri ˈbaɪˌpæs,Eligible,Curtis Sittenfeld
Clip-ons give,夹子给,clip-ons* gɪv,five o&#39;clock shadow,Elin Gregory
five o&#39;clock shadow,五点钟的影子,faɪv o&#39;clock* ˈʃæˌdoʊ,five o&#39;clock shadow,Elin Gregory
suppository,栓剂,suppository*,Drag Queen (Robert Rodi Essentials),"Rodi, Robert"
duplicitous,口是心非的,duˈplɪsɪtəs,Eligible,Curtis Sittenfeld
hurdle,栏,ˈhərdəl,five o&#39;clock shadow,Elin Gregory
HONK,按喇叭,hɔŋk,Eligible,Curtis Sittenfeld
tirade,长篇大论,taɪˈreɪd,Eligible,Curtis Sittenfeld
scion,接穗,saɪən,Eligible,Curtis Sittenfeld
banter,嘲笑,ˈbæntər,Eligible,Curtis Sittenfeld
precluded,排除,prɪˈkludɪd,Eligible,Curtis Sittenfeld
sprinted,冲刺,ˈsprɪntɪd,Eligible,Curtis Sittenfeld
horn,喇叭,hɔrn,Eligible,Curtis Sittenfeld
disinclined,不愿意,ˌdɪsɪnˈklaɪnd,Eligible,Curtis Sittenfeld
vasectomy,输精管切除术,væˈzɛktəmi,Eligible,Curtis Sittenfeld
recuperation,疗养,rɪˌkupərˈeɪʃən,Eligible,Curtis Sittenfeld
vied for,争夺,vaɪd fər,Eligible,Curtis Sittenfeld
spinach,菠菜,ˈspɪnəʧ,Eligible,Curtis Sittenfeld
gusto,兴致勃勃,ˈgəˌstoʊ,Eligible,Curtis Sittenfeld
hiatus,差距,haɪˈeɪtəs,Eligible,Curtis Sittenfeld
blizzard,暴风雪,ˈblɪzərd,Eligible,Curtis Sittenfeld
colic,绞痛,colic*,Eligible,Curtis Sittenfeld
syringe,注射器,ˈsɪrɪnʤ,Eligible,Curtis Sittenfeld
tortillas,玉米饼,ˌtɔrˈtiəz,Eligible,Curtis Sittenfeld
decorous,高雅的,ˈdɛkərəs,Eligible,Curtis Sittenfeld
protracted,旷日持久,proʊˈtræktɪd,Eligible,Curtis Sittenfeld
prurience,好色,prurience*,Eligible,Curtis Sittenfeld
shrieked,尖叫,ʃrikt,Eligible,Curtis Sittenfeld
neuroses,神经症,nʊˈroʊsiz,Eligible,Curtis Sittenfeld
rotundity,圆度,rotundity*,Eligible,Curtis Sittenfeld
aspersions,中伤,əˈspərʒənz,Eligible,Curtis Sittenfeld
sequined,亮片,ˈsikwənd,Eligible,Curtis Sittenfeld
smitten,迷住,sˈmɪtən,Eligible,Curtis Sittenfeld
matchmaking,牵线搭桥,ˈmæʧˌmeɪkɪŋ,Eligible,Curtis Sittenfeld
