vocabulary,meaning,IPA,book,author
corgi,柯基犬,corgis*,His Royal Secret,Lilah Pace
rubber band,橡皮筋,ˈrəbər bænd,His Royal Favorite,Lilah Pace
blab,"To utter or tell unnecessarily, or in a thoughtless manner; to publish (secrets or trifles) without reserve or discretion. Udall. And yonder a vile physician blabbing The case of his patient. Tennyson.

To talk thoughtlessly or without discretion; to tattle; to tell tales. She must burst or blab. Dryden.

One who blabs; a babbler; a telltale. ""Avoided as a blab."" Milton. For who will open himself to a blab or a babbler. Bacon.",blab*,His Royal Secret,Lilah Pace
impish,"Having the qualities, or showing the characteristics, of an imp.",ˈɪmpɪʃ,His Royal Favorite,Lilah Pace
investiture,"1. The act or ceremony of investing, or the of being invested, as with an office; a giving possession; also, the right of so investing. He had refused to yield up to the pope the investiture of bishops. Sir W. Raleigh. 2. (Feudal Law)  Livery of seizin. The grant of land or a feud was perfected by the ceremony oinvestiture, or open delivery of possession. Blackstone. 3. That with which anyone is invested or clothed; investment; clothing; covering. While we yet have on Our gross investiture of mortal weeds. Trench.",ˌɪnˈvɛstəʧər,His Royal Secret,Lilah Pace
savvier,救主,savvier*,His Royal Secret,Lilah Pace
crinkling,起皱,crinkling*,His Royal Secret,Lilah Pace
inbred,"Bred within; innate; as, inbred worth. ""Inbred sentiments."" Burke.",ˈɪnˌbrɛd,His Royal Secret,Lilah Pace
tumbler,"1. One who tumbles; one who plays tricks by various motions of the body; an acrobat. 2. A movable obstruction in a lock, consisting of a lever, latch, wheel, slide, or the like, which must be adjusted to a particular position by a key or other means before the bolt can be thrown in locking or unlocking. 3. (Firearms)  A piece attached to, or forming part of, the hammer of a gunlock, upon which the mainspring acts and in which are the notches for sear point to enter. 4. A drinking glass, without a foot or stem; -- so called because originally it had a pointed or convex base, and could not be set down with any liquor in it, thus compelling the drinker to finish his measure. 5. (Zoöl.)  A variety of the domestic pigeon remarkable for its habit of tumbling, or turning somersaults, during its flight. 6. (Zoöl.)  A breed of dogs that tumble when pursuing game. They were formerly used in hunting rabbits. 7. A kind of cart; a tumbrel. [Prov. Eng. & Scot.]",ˈtəmblər,His Royal Secret,Lilah Pace
accouterment,装备,əˈkutərmənts,His Royal Secret,Lilah Pace
peeved until,直到,pivd ənˈtɪl,His Royal Secret,Lilah Pace
inanity,"1. Inanition; void space; vacuity; emptiness. 2. Want of seriousness; aimlessness; frivolity. 3. An inane, useless thing or pursuit; a vanity; a silly object; -- chiefly in pl.; as, the inanities of the world.",inanities*,His Royal Secret,Lilah Pace
inbred,"Bred within; innate; as, inbred worth. ""Inbred sentiments."" Burke.",ˈɪnˌbrɛd,His Royal Secret,Lilah Pace
tiara,"1. A form of headdress worn by the ancient Persians. According to Xenophon, the royal tiara was encircled with a diadem, and was high and erect, while those of the people were flexible, or had rims turned over. 2. The pope's triple crown. It was at first a round, high cap, but was afterward encompassed with a crown, subsequently with a second, and finally with a third. Fig.: The papal dignity.",tiˈɑrə,His Royal Secret,Lilah Pace
decibel,分贝,ˈdɛsəˌbɛl,His Royal Secret,Lilah Pace
veldt,"A region or tract of land; esp., the open field; grass country. [South Africa]",veldt*,His Royal Secret,Lilah Pace
vetted,审查,ˈvɛtɪd,His Royal Secret,Lilah Pace
unrequited,单相思,ˌənrikˈwaɪtɪd,His Royal Secret,Lilah Pace
fodder,"A weight by which lead and some other metals were formerly sold, in England, varying from 19 [Obs.]

That which is fed out to cattle horses, and sheep, as hay, cornstalks, vegetables, etc.

To feed, as cattle, with dry food or cut grass, etc.;to furnish with hay, straw, oats, etc.",ˈfɑdər,His Royal Secret,Lilah Pace
twit?,机智？,twit*?,His Royal Secret,Lilah Pace
Labrador,拉布拉多犬,ˈlæbrəˌdɔr,His Royal Secret,Lilah Pace
Bulldogs,斗牛犬,ˈbʊlˌdɔgz,His Royal Secret,Lilah Pace
Corgis,柯基犬,corgis*,His Royal Secret,Lilah Pace
semblance,"1. Seeming; appearance; show; figure; form. Thier semblance kind, and mild their gestures were. Fairfax. 2. Likeness; resemblance, actual or apparent; similitude; as, the semblance of worth; semblance of virtue. Only semblances or imitations of shells. Woodward.",ˈsɛmbləns,His Royal Secret,Lilah Pace
russet,"1. Of a reddish brown color, or (by some called) a red gray; of the color composed of blue, red, and yellow in equal strength, but unequal proportions, namely, two parts of red to one each of blue and yellow; also, of a yellowish brown color. The morn, in russet mantle clad. Shak. Our summer such a russet livery wears. Dryden. 2. Coarse; homespun; rustic. [R.] Shak.

1. A russet color; a pigment of a russet color. 2. Cloth or clothing of a russet color. 3. A country dress; -- so called because often of a russet color. Dryden. 4. An apple, or a pear, of a russet color; as, the English russet, and the Roxbury russet.",ˈrəsɪt,His Royal Secret,Lilah Pace
sonogram,超声图,ˈsɔnəˌgræm,His Royal Secret,Lilah Pace
adulation,"Servile flattery; praise in excess, or beyond what is merited. Think'st thou the fiery fever will go out With titles blown from adulation Shak. Syn. -- Sycophancy; cringing; fawning; obsequiousness; blandishment. -- Adulation, Flattery, Compliment. Men deal in compliments from a desire to please; they use flattery either from undue admiration, or a wish to gratify vanity; they practice adulation from sordid motives, and with a mingled spirit of falsehood and hypocrisy. Compliment may be a sincere expression of due respect and esteem, or it may be unmeaning; flattery is apt to become gross; adulation is always servile, and usually fulsome.",ˌæʤəˈleɪʃən,His Royal Secret,Lilah Pace
swanky,An active and clever young fellow. [Scot.] Sir W. Scott.,sˈwɑŋki,His Royal Secret,Lilah Pace
regent,"1. Ruling; governing; regnant. ""Some other active regent principle . . . which we call the soul."" Sir M. Hale. 2. Exercising vicarious authority. Milton. Queen regent. See under Queen, n.

1. One who rules or reigns; a governor; a ruler. Milton. 2. Especially, one invested with vicarious authority; one who governs a kingdom in the minority, absence, or disability of the sovereign. 3. One of a governing board; a trustee or overseer; a superintendent; a curator; as, the regents of the Smithsonian Institution. 4. (Eng.Univ.)  A resident master of arts of less than five years' standing, or a doctor of less than twwo. They were formerly privileged to lecture in the schools. Regent bird (Zoöl.), a beautiful Australian bower bird (Sericulus melinus). The male has the head, neck, and large patches on the wings, bright golden yellow, and the rest of the plumage deep velvety black; -- so called in honor of the Prince of Wales (afterward George IV.), who was Prince Regent in the reign of George III. -- The Regents of the University of the State of New York, the members of a corporate body called the University of New York. They have a certain supervisory power over the incorporated institution for Academic and higher education in the State.",ˈriʤənt,His Royal Secret,Lilah Pace
elation,"A lifting up by success; exaltation; inriation with pride of prosperity. ""Felt the elation of triumph."" Sir W. Scott.",ɪˈleɪʃən,His Royal Secret,Lilah Pace
kowtowed,磕头,kowtowed*,His Royal Secret,Lilah Pace
phalanx,"1. (Gr. Antiq.)  A body of heavy-armed infantry formed in ranks and files close and deep. There were several different arrangements, the phalanx varying in depth from four to twenty-five or more ranks of men. ""In cubic phalanx firm advanced."" Milton. The Grecian phalanx, moveless as a tower. Pope. 2. Any body of troops or men formed in close array, or any combination of people distinguished for firmness and solidity of a union. At present they formed a united phalanx. Macaulay. The sheep recumbent, and the sheep that grazed, All huddling into phalanx, stood and gazed. Cowper. 3. A Fourierite community; a phalanstery. 4. (Anat.)  One of the digital bones of the hand or foot, beyond the metacarpus or metatarsus; an internode. 5. Etym: [pl. Phalanges.] (Bot.)  A group or bundle of stamens, as in polyadelphous flowers.",ˈfeɪlæŋks,His Royal Secret,Lilah Pace
penance,"1. Repentance. [Obs.] Wyclif (Luke xv. 7). 2. Pain; sorrow; suffering. [Obs.] ""Joy or penance he feeleth none."" Chaucer. 3. (Eccl.)  A means of repairing a sin committed, and obtaining pardon for it, consisting partly in the performance of expiatory rites, partly in voluntary submission to a punishment corresponding to the transgression. Penance is the fourth of seven sacraments in the Roman Catholic Church. Schaff-Herzog Encyc. And bitter penance, with an iron whip. Spenser. Quoth he, ""The man hath penance done, And penance more will do."" Coleridge.

To impose penance; to punish. ""Some penanced lady elf."" Keats.",ˈpɛnəns,His Royal Secret,Lilah Pace
venal in,贪污,ˈvinəl ɪn,His Royal Secret,Lilah Pace
vagabond,"1. Moving from place to place without a settled habitation; wandering. ""Vagabond exile."" Shak. 2. Floating about without any certain direction; driven to and fro. To heaven their prayers Flew up, nor missed the way, by envious winds Blown vagabond or frustrate. Milton. 3. Being a vagabond; strolling and idle or vicious.

One who wanders from place to place, having no fixed dwelling, or not abiding in it, and usually without the means of honest livelihood; a vagrant; a tramp; hence, a worthless person; a rascal. A fugitive and a vagabond shalt thou be. Gen. iv. 12. Note: In English and American law, vagabond is used in bad sense, denoting one who is without a home; a strolling, idle, worthless person. Vagabonds are described in old English statutes as ""such as wake on the night and sleep on the day, and haunt customable taverns and alehouses, and routs about; and no man wot from whence they came, nor whither they go."" In American law, the term vagrant is employed in the same sense. Cf Rogue, n., 1. Burrill. Bouvier.

To play the vagabond; to wander like a vagabond; to stroll. On every part my vagabonding sight Did cast, and drown mine eyes in sweet delight. Drummond.",ˈvægəbɑnd,His Royal Secret,Lilah Pace
telltale,"Telling tales; babbling. ""The telltale heart."" Poe.

1. One who officiously communicates information of the private concerns of others; one who tells that which prudence should suppress. 2. (Mus.)  A movable piece of ivory, lead, or other material, connected with the bellows of an organ, that gives notice, by its position, when the wind is exhausted. 3. (Naut.) (a) A mechanical attachment to the steering wheel, which, in the absence of a tiller, shows the position of the helm. (b) A compass in the cabin of a vessel, usually placed where the captain can see it at all hours, and thus inform himself of the vessel's course. 4. (Mach.)  A machine or contrivance for indicating or recording something, particularly for keeping a check upon employees, as factory hands, watchmen, drivers, check takers, and the like, by revealing to their employers what they have done or omitted. 5. (Zoöl.)  The tattler. See Tattler.",ˈtɛlˌteɪl,His Royal Secret,Lilah Pace
ruse would,诡计会,ruz wʊd,His Royal Secret,Lilah Pace
stag,"1. (Zoöl.) (a) The adult male of the red deer (Cervus elaphus), a large European species closely related to the American elk, or wapiti. (b) The male of certain other species of large deer. 2. A colt, or filly; also, a romping girl. [Prov. Eng.] 3. A castrated bull; -- called also bull stag, and bull seg. See the Note under Ox. 4. (Stock Exchange) (a) An outside irregular dealer in stocks, who is not a member of the exchange. [Cant] (b) One who applies for the allotment of shares in new projects, with a view to sell immediately at a premium, and not to hold the stock. [Cant] 5. (Zoöl.)  The European wren. [Prov. Eng.] Stag beetle (Zoöl.), any one of numerous species of lamellicorn beetles belonging to Lucanus and allied genera, especially L. cervus of Europe and L. dama of the United States. The mandibles are large and branched, or forked, whence the name. The lava feeds on the rotten wood of dead trees. Called also horned bug, and horse beetle. -- Stag dance, a dance by men only. [slang, U.S.] -- Stag hog (Zoöl.), the babiroussa. -- Stag-horn coral (Zoöl.), any one of several species of large branching corals of the genus Madrepora, which somewhat resemble the antlers of the stag, especially Madrepora cervicornis, and M. palmata, of Florida and the West Indies. -- Stag-horn fern (Bot.), an Australian and West African fern (Platycerium alcicorne) having the large fronds branched like a stag's horns; also, any species of the same genus. -- Stag-horn sumac (Bot.), a common American shrub (Rhus typhina) having densely velvety branchlets. See Sumac. -- Stag party, a party consisting of men only. [Slang, U. S.] -- Stag tick (Zoöl.), a parasitic dipterous insect of the family Hippoboscidæ, which lives upon the stag and in usually wingless. The same species lives also upon the European grouse, but in that case has wings.

To act as a ""stag"", or irregular dealer in stocks. [Cant]

To watch; to dog, or keep track of. [Prov. Eng. or Slang] H. Kingsley.",stæg,His Royal Secret,Lilah Pace
skullduggery,诡计,skullduggery*,His Royal Secret,Lilah Pace
cutesy,娇媚,ˈkjutsi,His Royal Secret,Lilah Pace
torrential,Of or pertaining to a torrent; having the character of a torrent; caused by a torrent . [R.],tɔˈrɛnʃəl,His Royal Secret,Lilah Pace
freelance,自由职业者,ˈfriˌlæns,His Royal Secret,Lilah Pace
eviscerate,To take out the entrails of; to disembowel; to gut.,əˈvɪsərˌeɪt,His Royal Secret,Lilah Pace
reel,"A lively dance of the Highlanders of Scotland; also, the music to the dance; -- often called Scotch reel. Virginia reel, the common name throughout the United States for the old English ""country dance,"" or contradance (contredanse). Bartlett.

1. A frame with radial arms, or a kind of spool, turning on an axis, on which yarn, threads, lines, or the like, are wound; as, a log reel, used by seamen; an angler's reel; a garden reel. 2. A machine on which yarn is wound and measured into lays and hanks, -- for cotton or linen it is fifty-four inches in circuit; for worsted, thirty inches. McElrath. 3. (Agric.)  A device consisting of radial arms with horizontal stats, connected with a harvesting machine, for holding the stalks of grain in position to be cut by the knives. Reel oven, a baker's oven in which bread pans hang suspended from the arms of a kind of reel revolving on a horizontal axis. Knight.

1. To roll. [Obs.] And Sisyphus an huge round stone did reel. Spenser. 2. To wind upon a reel, as yarn or thread.

1. To incline, in walking, from one side to the other; to stagger. They reel to and fro, and stagger like a drunken man. Ps. cvii. 27. He, with heavy fumes oppressed, Reeled from the palace, and retired to rest. Pope. The wagons reeling under the yellow sheaves. Macualay. 2. To have a whirling sensation; to be giddy. In these lengthened vigils his brain often reeled. Hawthorne.

The act or motion of reeling or staggering; as, a drunken reel. Shak.",ril,His Royal Secret,Lilah Pace
coronation,"1. The act or solemnity of crowning a sovereign; the act of investing a prince with the insignia of royalty, on his succeeding to the sovereignty. 2. The pomp or assembly at a coronation. Pope.",ˌkɔrəˈneɪʃən,His Royal Secret,Lilah Pace
unruffled,Not ruffled or agitated; smooth; calm; tranquil; quiet. Calm and unruffled as a summer's sea. Addison.,ənˈrəfəld,His Royal Secret,Lilah Pace
giddy,"1. Having in the head a sensation of whirling or reeling about; having lost the power of preserving the balance of the body, and therefore wavering and inclined to fall; lightheaded; dizzy. By giddy head and staggering legs betrayed. Tate. 2. Promoting or inducing giddiness; as, a giddy height; a giddy precipice. Prior. Upon the giddy footing of the hatches. Shak. 3. Bewildering on account of rapid turning; running round with celerity; gyratory; whirling. The giddy motion of the whirling mill. Pope. 4. Characterized by inconstancy; unstable; changeable; fickle; wild; thoughtless; heedless. ""Giddy, foolish hours."" Rowe. ""Giddy chance."" Dryden. Young heads are giddy and young hearts are warm. Cowper.

To reel; to whirl. Chapman.

To make dizzy or unsteady. [Obs.]",ˈgɪdi,His Royal Secret,Lilah Pace
scorned to,蔑视,skɔrnd tɪ,His Royal Secret,Lilah Pace
unnerved,不安的,ənˈnərvd,His Royal Secret,Lilah Pace
incognito,"Without being known; in disguise; in an assumed character, or under an assumed title; -- said esp. of great personages who sometimes adopt a disguise or an assumed character in order to avoid notice. 'T was long ago Since gods come down incognito. Prior. The prince royal of Persia came thither incognito. Tatler.

1. One unknown or in disguise, or under an assumed character or name. 2. The assumption of disguise or of a feigned character; the state of being in disguise or not recognized. His incognito was endangered. Sir W. Scott.",ˌɪnkɔgˈnitoʊ,His Royal Secret,Lilah Pace
whacking,Very large; whapping. [Colloq.],ˈwækɪŋ,His Royal Secret,Lilah Pace
glum,"Sullenness. [Obs.] Skelton.

Moody; silent; sullen. I frighten people by my glun face. Thackeray.

To look sullen; to be of a sour countenance; to be glum. [Obs.] Hawes.",gləm,His Royal Secret,Lilah Pace
frisson,战栗,frisson*,His Royal Secret,Lilah Pace
diazepam,地西泮,diazepam*,His Royal Secret,Lilah Pace
off.,离开。,ɔf.,His Royal Secret,Lilah Pace
antacid,"A remedy for acidity of the stomach, as an alkali or absorbent. -- a.  Counteractive of acidity.",ænˈtæsədz,His Royal Secret,Lilah Pace
fad,"A hobby ; freak; whim. -- Fad""dist, n. It is your favorite fad to draw plans. G. Eliot.",fæd,His Royal Secret,Lilah Pace
disheveled,"1. Having in loose disorder; disarranged; as, disheveled hair. 2. Having the hair in loose disorder. The dancing maidens are disheveled Mænads. J. A. Symonds.",dɪˈʃɛvəld,His Royal Secret,Lilah Pace
grated,"Furnished with a grate or grating; as, grated windows.",ˈgreɪtɪd,His Royal Secret,Lilah Pace
landline,固定电话,landline*,His Royal Secret,Lilah Pace
skulking,偷偷摸摸,ˈskəlkɪŋ,His Royal Secret,Lilah Pace
burqa,罩袍,burqa*,His Royal Secret,Lilah Pace
shuddered,不寒而栗,ˈʃədərd,His Royal Secret,Lilah Pace
knackered,筋疲力尽,knackered*,His Royal Secret,Lilah Pace
rabid,"1. Furious; raging; extremely violent. The rabid flight Of winds that ruin ships. Chapman. 2. Extreme, unreasonable, or fanatical in opinion; excessively zealous; as, a rabid socialist. 3. Affected with the distemper called rabies; mad; as, a rabid dog or fox. 4. (Med.) Of or pertaining to rabies, or hydrophobia; as, rabid virus.",ˈræbɪd,His Royal Secret,Lilah Pace
peripatetic,"1. Walking about; itinerant. 2. Of or pertaining to the philosophy taught by Aristotle (who gave his instructions while walking in the Lyceum at Athens), or to his followers. ""The true peripatetic school."" Howell.

1. One who walks about; a pedestrian; an itinerant. Tatler. 2. A disciple of Aristotle; an Aristotelian.",ˌpɛrəpəˈtɛtɪk,His Royal Secret,Lilah Pace
parceling,"1. The act of dividing and distributing in portions or parts. 2. (Naut.)  Long, narrow slips of canvas daubed with tar and wound about a rope like a bandage, before it is served; used, also, in mousing on the stayes, etc.",ˈpɑrsəlɪŋ,His Royal Secret,Lilah Pace
leash,"1. A thong of leather, or a long cord, by which a falconer holds his hawk, or a courser his dog. Even like a fawning greyhound in the leash. Shak. 2. (Sporting)  A brace and a half; a tierce; three; three creatures of any kind, especially greyhounds, foxes, bucks, and hares; hence, the number three in general. [I] kept my chamber a leash of days. B. Jonson. Then were I wealthier than a leash of kings. Tennyson. 3. (Weaving)  A string with a loop at the end for lifting warp threads, in a loom.

To tie together, or hold, with a leash.",liʃ,His Royal Secret,Lilah Pace
chickenshit,鸡屎,chickenshit*,His Royal Secret,Lilah Pace
into,"To the inside of; within. It is used in a variety of applications. 1. Expressing entrance, or a passing from the outside of a thing to its interior parts; -- following verbs expressing motion; as, come into the house; go into the church; one stream falls or runs into another; water enters into the fine vessels of plants. 2. Expressing penetration beyond the outside or surface, or access to the inside, or contents; as, to look into a letter or book; to look into an apartment. 3. Indicating insertion; as, to infuse more spirit or animation into a composition. 4. Denoting inclusion; as, put these ideas into other words. 5. Indicating the passing of a thing from one form, condition, or state to another; as, compound substances may be resolved into others which are more simple; ice is convertible into water, and water into vapor; men are more easily drawn than forced into compliance; we may reduce many distinct substances into one mass; men are led by evidence into belief of truth, and are often enticed into the commission of crimes'into; she burst into tears; children are sometimes frightened into fits; all persons are liable to be seduced into error and folly. Note: Compare In.",ˈɪntu,His Royal Secret,Lilah Pace
pelvis,"1. (Anat.)  The pelvic arch, or the pelvic arch together with the sacrum. See Pelvic arch, under Pelvic, and Sacrum. 2. (Zoöl.)  The calyx of a crinoid. Pelvis of the kidney (Anat.), the basinlike cavity into which the ureter expands as it joins the kidney.",ˈpɛlvəs,His Royal Secret,Lilah Pace
tantalizing,诱人的,ˈtænəˌlaɪzɪŋ,His Royal Secret,Lilah Pace
fornication,"1. Unlawful sexual intercourse on the part of an unmarried person; the act of such illicit sexual intercourse between a man and a woman as does not by law amount to adultery. Note: In England, the offense, though cognizable in the ecclesiastical courts, was not at common law subject to secular prosecution. In the United States it is indictable in some States at common law, in others only by statute. Whartyon. 2. (Script.) (a) Adultery. (b) Incest. (c) Idolatry.",fornication*,His Royal Secret,Lilah Pace
paranoia,Mental derangement; insanity.,ˌpɛrəˈnɔɪə,His Royal Secret,Lilah Pace
navel,"1. (Anat.)  A mark or depression in the middle of the abdomen; the umbilicus. See Umbilicus.belly button in humans 2. The central part or point of anything; the middle. Within the navel of this hideous wood, Immured in cypress shades, a sorcerer dwells. Milton. 3. (Gun.)  An eye on the under side of a carronade for securing it to a carriage. Navel gall, a bruise on the top of the chine of the back of a horse, behind the saddle. Johnson. -- Navel point. (Her.) Same as Nombril.",ˈneɪvəl,His Royal Secret,Lilah Pace
segue,继续,ˈsɛgweɪ,His Royal Secret,Lilah Pace
mean,"1. To have in the mind, as a purpose, intention, etc.; to intend; to purpose; to design; as, what do you mean to do What mean ye by this service Ex. xii. 26. Ye thought evil against me; but God meant it unto good. Gen. 1. 20. I am not a Spaniard To say that it is yours and not to mean it. Longfellow. 2. To signify; to indicate; to import; to denote. What mean these seven ewe lambs Gen. xxi. 29. Go ye, and learn what that me. Matt. ix. 13.

To have a purpose or intention. [Rare, except in the phrase to mean well, or ill.] Shak.

1. Destitute of distinction or eminence; common; low; vulgar; humble. ""Of mean parentage."" Sir P. Sidney. The mean man boweth down, and the great man humbleth himself. Is. ii. 9. 2. Wanting dignity of mind; low-minded; base; destitute of honor; spiritless; as, a mean motive. Can you imagine I so mean could prove, To save my life by changing of my love Dryden. 3. Of little value or account; worthy of little or no regard; contemptible; despicable. The Roman legions and great Cæsar found Our fathers no mean foes. J. Philips. 4. Of poor quality; as, mean fare. 5. Penurious; stingy; close-fisted; illiberal; as, mean hospitality. Note: Mean is sometimes used in the formation of compounds, the sense of which is obvious without explanation; as, meanborn, mean-looking, etc. Syn. -- Base; ignoble; abject; beggarly; wretched; degraded; degenerate; vulgar; vile; servile; menial; spiritless; groveling; slavish; dishonorable; disgraceful; shameful; despicable; contemptible; paltry; sordid. See Base.

1. Occupying a middle position; middle; being about midway between extremes. Being of middle age and a mean stature. Sir. P. Sidney. 2. Intermediate in excellence of any kind. According to the fittest style of lofty, mean, or lowly. Milton. 3. (Math.)  Average; having an intermediate value between two extremes, or between the several successive values of a variable quantity during one cycle of variation; as, mean distance; mean motion; mean solar day. Mean distance (of a planet from the sun) (Astron.), the average of the distances throughout one revolution of the planet, equivalent to the semi-major axis of the orbit. -- Mean error (Math. Phys.), the average error of a number of observations found by taking the mean value of the positive and negative errors without regard to sign. -- Mean-square error, or Error of the mean square (Math. Phys.), the error the square of which is the mean of the squares of all the errors; -- called also, especially by European writers, mean error. -- Mean line. (Crystallog.) Same as Bisectrix. -- Mean noon, noon as determined by mean time. -- Mean proportional (between two numbers) (Math.), the square root of their product. -- Mean sun, a fictitious sun supposed to move uniformly in the equator so as to be on the meridian each day at mean noon. -- Mean time, time as measured by an equable motion, as of a perfect clock, or as reckoned on the supposition that all the days of the year are of a mean or uniform length, in contradistinction from apparent time, or that actually indicated by the sun, and from sidereal time, or that measured by the stars.

1. That which is mean, or intermediate, between two extremes of place, time, or number; the middle point or place; middle rate or degree; mediocrity; medium; absence of extremes or excess; moderation; measure. But to speak in a mean, the virtue of prosperity is temperance; the virtue of adversity is fortitude. Bacon. There is a mean in all things. Dryden. The extremes we have mentioned, between which the wellinstracted Christian holds the mean, are correlatives. I. Taylor. 2. (Math.)  A quantity having an intermediate value between several others, from which it is derived, and of which it expresses the resultant value; usually, unless otherwise specified, it is the simple average, formed by adding the quantities together and dividing by their number, which is called an arithmetical mean. A geometrical mean is the square root of the product of the quantities. 3. That through which, or by the help of which, an end is attained; something tending to an object desired; intermediate agency or measure; necessary condition or coagent; instrument. Their virtuous conversation was a mean to work the conversion of the heathen to Christ. Hooker. You may be able, by this mean, to review your own scientific acquirements. Coleridge. Philosophical doubt is not an end, but a mean. Sir W. Hamilton. Note: In this sense the word is usually employed in the plural form means, and often with a singular attribute or predicate, as if a singular noun. By this means he had them more at vantage. Bacon. What other means is left unto us. Shak. 4. pl.  Hence: Resources; property, revenue, or the like, considered as the condition of easy livelihood, or an instrumentality at command for effecting any purpose; disposable force or substance. Your means are very slender, and your waste is great. Shak. 5. (Mus.)  A part, whether alto or tenor, intermediate between the soprano and base; a middle part. [Obs.] The mean is drowned with your unruly base. Shak. 6. Meantime; meanwhile. [Obs.] Spenser. 7. A mediator; a go-between. [Obs.] Piers Plowman. He wooeth her by means and by brokage. Chaucer. By all means, certainly; without fail; as, go, by all means. -- By any means, in any way; possibly; at all. If by any means I might attain to the resurrection of the dead. Phil. iii. ll. -- By no means, or By no manner of means, not at all; certainly not; not in any degree. The wine on this side of the lake is by no means so good as that on the other. Addison.",min,His Royal Secret,Lilah Pace
presumptuous,"1. Full of presumption; presuming; overconfident or venturesome; audacious; rash; taking liberties unduly; arrogant; insolent; as, a presumptuous commander; presumptuous conduct. A class of presumptuous men, whom age has not made cautious, nor adversity wise. Buckminster. 2. Founded on presumption; as, a presumptuous idea. ""False, presumptuous hope."" Milton. 3. Done with hold design, rash confidence, or in violation of known duty; willful. ""Keep back the servant also from presumptuous sins."" Ps. xix. 13. Syn. -- Overconfident; foolhardy; rash; presuming; forward; arrogant; insolent.",prɪˈzəmpʧəwəs,His Royal Secret,Lilah Pace
chomped,咀嚼,chomped*,His Royal Secret,Lilah Pace
ghoul,"An imaginary evil being among Eastern nations, which was supposed to feed upon human bodies. [Written also ghole .] Moore.",gul,His Royal Secret,Lilah Pace
blithe,"Gay; merry; sprightly; joyous; glad; cheerful; as, a blithe spirit. The blithe sounds of festal music. Prescott. A daughter fair, So buxom, blithe, and debonair. Milton.",blaɪð,His Royal Secret,Lilah Pace
gloat,To look steadfastly; to gaz In vengeance gloating on another's pain. Byron.,gloʊt,His Royal Secret,Lilah Pace
Languid,慵懒,ˈlæŋgwəd,His Royal Secret,Lilah Pace
writhing,扭动,ˈrɪθɪŋ,His Royal Secret,Lilah Pace
oncology,肿瘤学,ɑŋˈkɑləʤi,His Royal Secret,Lilah Pace
GP,全科医生,gp*,His Royal Secret,Lilah Pace
sporting,"Of pertaining to, or engaging in, sport or sporrts; exhibiting the character or conduct of one who, or that which, sports. Sporting book, a book containing a record of bets, gambling operations, and the like. C. Kingsley. -- Sporting house, a house frequented by sportsmen, gamblers, and the like. -- Sporting man, one who practices field sports; also, a horse racer, a pugilist, a gambler, or the like. -- Sporting plant (Bot.), a plant in which a single bud or offset suddenly assumes a new, and sometimes very different, character from that of the rest of the plant. Darwin.",ˈspɔrtɪŋ,His Royal Secret,Lilah Pace
qualm,"1. Sickness; disease; pestilence; death. [Obs.] thousand slain and not of qualm ystorve [dead]. Chaucer. 2. A sudden attack of illness, faintness, or pain; an agony. "" Qualms of heartsick agony."" Milton. 3. Especially, a sudden sensation of nausea. For who, without a qualm, hath ever looked On holy garbage, though by Homer cooked Roscommon. 4. A prick or scruple of conscience; uneasiness of conscience; compunction. Dryden.",kwɑmz,His Royal Secret,Lilah Pace
pang,"A paroxysm of extreme pain or anguish; a sudden and transitory agony; a throe; as, the pangs of death. Syn. -- Agony; anguish; distress. See Agony.

To torture; to cause to have great pain or suffering; to torment. [R.] Shak.",pæŋ,His Royal Secret,Lilah Pace
whine,"To utter a plaintive cry, as some animals; to mean with a childish noise; to complain, or to tell of sorrow, distress, or the like, in a plaintive, nasal tone; hence, to complain or to beg in a mean, unmanly way; to moan basely. ""Whining plovers."" Spenser. The hounds were . . . staying their coming, but with a whining accent, craving liberty. Sir P. Sidney. Dost thou come here to whine Shak.

To utter or express plaintively, or in a mean, unmanly way; as, to whine out an excuse.

A plaintive tone; the nasal, childish tone of mean complaint; mean or affected complaint.",waɪn,His Royal Secret,Lilah Pace
ruse,"An artifice; trick; stratagem; wile; fraund; deceit. Ruse de guerre ( Etym: [F.], a stratagem of war.",ruz,His Royal Secret,Lilah Pace
